Composition,Capacity,Ages,AbleKids,DisabledKids,SevereKids,Carer,Housing,MaxME,WAllow
1,1,1,0,0,0,True,True,462.77,131.20
1,1,1,0,0,1,True,True,1201.52,867.59
1,1,1,0,0,2,True,True,1886.59,867.59
1,1,1,0,0,3,True,True,2571.66,867.59
1,1,1,0,0,4,True,True,3256.73,867.59
1,1,1,0,0,5,True,True,3941.80,867.59
1,1,1,0,0,6,True,True,4626.87,867.59
1,1,1,0,0,7,True,True,5311.94,867.59
1,1,1,0,0,8,True,True,5997.01,867.59
1,1,1,0,0,9,True,True,6682.08,867.59
1,1,1,0,0,10,True,True,7367.15,867.59
1,1,1,0,1,0,True,True,930.49,867.59
1,1,1,0,1,1,True,True,1615.56,867.59
1,1,1,0,1,2,True,True,2300.63,867.59
1,1,1,0,1,3,True,True,2985.70,867.59
1,1,1,0,1,4,True,True,3670.77,867.59
1,1,1,0,1,5,True,True,4355.84,867.59
1,1,1,0,1,6,True,True,5040.91,867.59
1,1,1,0,1,7,True,True,5725.98,867.59
1,1,1,0,1,8,True,True,6411.05,867.59
1,1,1,0,1,9,True,True,7096.12,867.59
1,1,1,0,2,0,True,True,1344.53,867.59
1,1,1,0,2,1,True,True,2029.60,867.59
1,1,1,0,2,2,True,True,2714.67,867.59
1,1,1,0,2,3,True,True,3399.74,867.59
1,1,1,0,2,4,True,True,4084.81,867.59
1,1,1,0,2,5,True,True,4769.88,867.59
1,1,1,0,2,6,True,True,5454.95,867.59
1,1,1,0,2,7,True,True,6140.02,867.59
1,1,1,0,2,8,True,True,6825.09,867.59
1,1,1,0,3,0,True,True,1758.57,867.59
1,1,1,0,3,1,True,True,2443.64,867.59
1,1,1,0,3,2,True,True,3128.71,867.59
1,1,1,0,3,3,True,True,3813.78,867.59
1,1,1,0,3,4,True,True,4498.85,867.59
1,1,1,0,3,5,True,True,5183.92,867.59
1,1,1,0,3,6,True,True,5868.99,867.59
1,1,1,0,3,7,True,True,6554.06,867.59
1,1,1,0,4,0,True,True,2172.61,867.59
1,1,1,0,4,1,True,True,2857.68,867.59
1,1,1,0,4,2,True,True,3542.75,867.59
1,1,1,0,4,3,True,True,4227.82,867.59
1,1,1,0,4,4,True,True,4912.89,867.59
1,1,1,0,4,5,True,True,5597.96,867.59
1,1,1,0,4,6,True,True,6283.03,867.59
1,1,1,0,5,0,True,True,2586.65,867.59
1,1,1,0,5,1,True,True,3271.72,867.59
1,1,1,0,5,2,True,True,3956.79,867.59
1,1,1,0,5,3,True,True,4641.86,867.59
1,1,1,0,5,4,True,True,5326.93,867.59
1,1,1,0,5,5,True,True,6012.00,867.59
1,1,1,0,6,0,True,True,3000.69,867.59
1,1,1,0,6,1,True,True,3685.76,867.59
1,1,1,0,6,2,True,True,4370.83,867.59
1,1,1,0,6,3,True,True,5055.90,867.59
1,1,1,0,6,4,True,True,5740.97,867.59
1,1,1,0,7,0,True,True,3414.73,867.59
1,1,1,0,7,1,True,True,4099.80,867.59
1,1,1,0,7,2,True,True,4784.87,867.59
1,1,1,0,7,3,True,True,5469.94,867.59
1,1,1,0,8,0,True,True,3828.77,867.59
1,1,1,0,8,1,True,True,4513.84,867.59
1,1,1,0,8,2,True,True,5198.91,867.59
1,1,1,0,9,0,True,True,4242.81,867.59
1,1,1,0,9,1,True,True,4927.88,867.59
1,1,1,0,10,0,True,True,4656.85,867.59
1,1,1,1,0,0,True,True,784.37,867.59
1,1,1,1,0,1,True,True,1469.44,867.59
1,1,1,1,0,2,True,True,2154.51,867.59
1,1,1,1,0,3,True,True,2839.58,867.59
1,1,1,1,0,4,True,True,3524.65,867.59
1,1,1,1,0,5,True,True,4209.72,867.59
1,1,1,1,0,6,True,True,4894.79,867.59
1,1,1,1,0,7,True,True,5579.86,867.59
1,1,1,1,0,8,True,True,6264.93,867.59
1,1,1,1,0,9,True,True,6950.00,867.59
1,1,1,1,1,0,True,True,1198.41,867.59
1,1,1,1,1,1,True,True,1883.48,867.59
1,1,1,1,1,2,True,True,2568.55,867.59
1,1,1,1,1,3,True,True,3253.62,867.59
1,1,1,1,1,4,True,True,3938.69,867.59
1,1,1,1,1,5,True,True,4623.76,867.59
1,1,1,1,1,6,True,True,5308.83,867.59
